description,unspsc_code
"Invoice for Sliced bread loaf, qty: 12, unit price: $69.84",50181901
Procured: White rice 1kg (12 pcs) - Unit Cost: $26.97,50201700
"Delivery of Large eggs dozen, total: 10 units at $106.35 each",50131705
"Delivery of Whole milk 1L, total: 2 units at $59.32 each",50131702
"Invoice for Cheddar cheese block, qty: 10, unit price: $50.91",50131710
"Materials received: Large eggs dozen – Qty: 2, Price: $113.13",50131705
"Invoice for Fresh apples 1kg, qty: 25, unit price: $201.75",50192102
Billed for 3 x Bottled mineral water 0.5L @ $40.14,50202302
"Delivery of Frozen Margherita pizza, total: 1 units at $95.91 each",50192707
Billed for 10 x Frozen Margherita pizza @ $67.23,50192707
"Goods supplied: Whole milk 1L – Amount: 10 pcs, Rate: $32.52",50131702
"Delivery of Bottled mineral water 0.5L, total: 10 units at $74.35 each",50202302
Billed for 10 x Cheddar cheese block @ $49.28,50131710
"Invoice for Sliced bread loaf, qty: 12, unit price: $58.13",50181901
"Delivery of Fresh apples 1kg, total: 25 units at $59.35 each",50192102
"Materials received: Sliced bread loaf – Qty: 3, Price: $114.17",50181901
Procured: Frozen Margherita pizza (3 pcs) - Unit Cost: $89.78,50192707
"Delivery of Fresh apples 1kg, total: 10 units at $159.29 each",50192102
"Line item - Large eggs dozen, 2 units @ $116.37",50131705
"Purchased: Fresh apples 1kg – 2 units, $171.63 per item",50192102
"Line item - Whole milk 1L, 25 units @ $9.48",50131702
"Materials received: Frozen Margherita pizza – Qty: 3, Price: $17.95",50192707
Billed for 2 x Cheddar cheese block @ $164.38,50131710
"Goods supplied: Bottled mineral water 0.5L – Amount: 2 pcs, Rate: $67.32",50202302
"Purchased: White rice 1kg – 10 units, $66.79 per item",50201700
"Materials received: Cheddar cheese block – Qty: 10, Price: $100.75",50131710
Procured: White rice 1kg (10 pcs) - Unit Cost: $124.14,50201700
"Delivery of Whole milk 1L, total: 2 units at $157.42 each",50131702
Line 29: 1 of Bottled mineral water 0.5L at $97.11 per unit,50202302
"Goods supplied: Cheddar cheese block – Amount: 10 pcs, Rate: $63.98",50131710
"Invoice for Large eggs dozen, qty: 12, unit price: $180.6",50131705
"Order details: Large eggs dozen, quantity 25, cost/unit $160.78",50131705
"Order details: Sliced bread loaf, quantity 5, cost/unit $40.8",50181901
"Order details: Cement bag 25kg, quantity 10, cost/unit $190.85",30111504
"Delivery of Box of stainless steel screws, total: 25 units at $156.89 each",31161504
Line 36: 2 of Box of stainless steel screws at $39.48 per unit,31161504
"Purchased: PVC water pipe 2 inch – 25 units, $230.72 per item",40142315
Line 38: 3 of Cement bag 25kg at $122.92 per unit,30111504
Billed for 25 x Steel reinforcement rods 10mm @ $201.98,30102307
"Invoice for Solid oak wooden door, qty: 2, unit price: $219.69",30171501
"Delivery of Steel reinforcement rods 10mm, total: 12 units at $122.27 each",30102307
"Purchased: Steel reinforcement rods 10mm – 25 units, $32.75 per item",30102307
"Purchased: White matte wall paint 10L – 2 units, $67.37 per item",31211504
"Materials received: Electric copper cable 50m – Qty: 2, Price: $232.34",26121505
"Order details: Solid oak wooden door, quantity 5, cost/unit $248.79",30171501
"Goods supplied: Glass wool insulation roll – Amount: 10 pcs, Rate: $113.69",30141701
"Line item - Solid oak wooden door, 1 units @ $85.51",30171501
"Purchased: Electric copper cable 50m – 2 units, $147.73 per item",26121505
"Delivery of Cement bag 25kg, total: 12 units at $158.33 each",30111504
"Delivery of Solid oak wooden door, total: 1 units at $215.12 each",30171501
"Purchased: Steel reinforcement rods 10mm – 2 units, $70.7 per item",30102307
"Line item - White matte wall paint 10L, 10 units @ $34.38",31211504
Line 53: 5 of Electric copper cable 50m at $61.88 per unit,26121505
"Materials received: White matte wall paint 10L – Qty: 2, Price: $24.94",31211504
Billed for 5 x Concrete wall panel 1x2m @ $103.66,30111504
"Delivery of Cement bag 25kg, total: 1 units at $101.55 each",30111504
"Delivery of Glass wool insulation roll, total: 2 units at $49.11 each",30141701
"Goods supplied: Box of stainless steel screws – Amount: 2 pcs, Rate: $106.34",31161504
"Goods supplied: Clay roof tiles – Amount: 2 pcs, Rate: $218.81",30161601
"Goods supplied: Steel reinforcement rods 10mm – Amount: 25 pcs, Rate: $215.55",30102307
"Delivery of Box of stainless steel screws, total: 1 units at $163.56 each",31161504
"Invoice for Box of stainless steel screws, qty: 1, unit price: $231.7",31161504
Procured: Solid oak wooden door (5 pcs) - Unit Cost: $122.18,30171501
"Materials received: Solid oak wooden door – Qty: 1, Price: $42.41",30171501
"Materials received: Cement bag 25kg – Qty: 3, Price: $231.74",30111504
"Order details: White matte wall paint 10L, quantity 5, cost/unit $174.6",31211504
"Goods supplied: HD USB webcam – Amount: 2 pcs, Rate: $48.69",46171610
"Invoice for Optical USB mouse, qty: 10, unit price: $184.33",43211708
Billed for 1 x Business laptop 16GB RAM @ $13.96,43211503
"Purchased: Tablet device 10 inch – 25 units, $133.48 per item",43211509
"Purchased: Business laptop 16GB RAM – 1 units, $213.06 per item",43211503
Line 72: 1 of LED computer monitor 24 inch at $169.29 per unit,43211902
"Materials received: Optical USB mouse – Qty: 1, Price: $235.49",43211708
"Line item - WiFi 6 broadband router, 10 units @ $149.24",43222609
"Delivery of WiFi 6 broadband router, total: 5 units at $164.86 each",43222609
"Purchased: WiFi 6 broadband router – 3 units, $233.77 per item",43222609
Billed for 2 x Optical USB mouse @ $67.51,43211708
"Order details: Wireless keyboard, quantity 5, cost/unit $80.07",43211706
"Invoice for LED computer monitor 24 inch, qty: 5, unit price: $155.86",43211902
"Delivery of WiFi 6 broadband router, total: 1 units at $135.1 each",43222609
"Order details: HD USB webcam, quantity 2, cost/unit $233.41",46171610
"Line item - LED computer monitor 24 inch, 3 units @ $72.32",43211902
"Purchased: Tablet device 10 inch – 12 units, $76.68 per item",43211509
"Invoice for HD USB webcam, qty: 12, unit price: $204.55",46171610
"Delivery of Android smartphone 128GB, total: 2 units at $67.22 each",43191501
"Purchased: LED computer monitor 24 inch – 2 units, $69.18 per item",43211902
"Line item - WiFi 6 broadband router, 12 units @ $86.71",43222609
"Purchased: Android smartphone 128GB – 5 units, $63.9 per item",43191501
"Delivery of Business laptop 16GB RAM, total: 12 units at $106.76 each",43211503
"Invoice for Android smartphone 128GB, qty: 1, unit price: $84.39",43191501
"Order details: Wireless keyboard, quantity 2, cost/unit $185.7",43211706
"Materials received: HD USB webcam – Qty: 10, Price: $3.9",46171610
Procured: LED computer monitor 24 inch (10 pcs) - Unit Cost: $10.45,43211902
Line 94: 10 of Multifunction printer at $38.3 per unit,43212105
"Invoice for Wireless keyboard, qty: 3, unit price: $92.12",43211706
Billed for 2 x Business laptop 16GB RAM @ $170.99,43211503
Billed for 25 x LED computer monitor 24 inch @ $140.63,43211902
Line 98: 12 of USB-C charging cable at $39.91 per unit,26121607
Procured: Optical USB mouse (25 pcs) - Unit Cost: $202.98,43211708
"Line 999: Misc item – Qty: 1, Price: $0.00",00000000
