unspsc_code,level,sub_category,description
501017,CLASS,GS_FOOD,Nuts and seeds
501025,CLASS,GS_FOOD,Nuts excluding wild edible nuts and groundnuts
501115,CLASS,GS_FOOD,Minimally processed meat and poultry products
501120,CLASS,GS_FOOD,Processed meat and poultry products
501215,CLASS,GS_FOOD,Fish
501216,CLASS,GS_FOOD,Shellfish
501217,CLASS,GS_FOOD,Aquatic invertebrates
501218,CLASS,GS_FOOD,Aquatic plants
501219,CLASS,GS_FOOD,Salt preserved seafoods
501220,CLASS,GS_FOOD,Wild caught fish
501221,CLASS,GS_FOOD,Farm raised fish
501224,CLASS,GS_FOOD,Wild caught shellfish
501225,CLASS,GS_FOOD,Farm raised shellfish
501316,CLASS,GS_FOOD,Eggs and egg substitutes
501317,CLASS,GS_FOOD,Milk and butter products
501318,CLASS,GS_FOOD,Cheese
501515,CLASS,GS_FOOD,Edible vegetable and plant oils and fats
501516,CLASS,GS_FOOD,Edible animal oils and fats
501517,CLASS,GS_FOOD,Vegetable waxes
501615,CLASS,GS_FOOD,Chocolate and sugars and sweetening products
501618,CLASS,GS_FOOD,Confectionary products
501619,CLASS,GS_FOOD,Sugar products
501715,CLASS,GS_FOOD,Herbs and spices and extracts
501717,CLASS,GS_FOOD,Vinegars and cooking wines
501718,CLASS,GS_FOOD,Sauces and spreads and condiments
501719,CLASS,GS_FOOD,Pickles and relish and olives
501720,CLASS,GS_FOOD,Fermented soybean products
501817,CLASS,GS_FOOD,Baking mixes and supplies
501819,CLASS,GS_FOOD,Bread and biscuits and cookies
501820,CLASS,GS_FOOD,Cakes and pies and pastries
501915,CLASS,GS_FOOD,Prepared soups and stews
501921,CLASS,GS_FOOD,Snack foods
501923,CLASS,GS_FOOD,Desserts and dessert toppings
501924,CLASS,GS_FOOD,Jams and jellies and nut and sweet spreads and fruit conserves
501925,CLASS,GS_FOOD,Sandwiches and filled rolls
501926,CLASS,GS_FOOD,Prepared side dishes
501927,CLASS,GS_FOOD,Packaged combination meals
501928,CLASS,GS_FOOD,Savory pies and quiches and pasties
501929,CLASS,GS_FOOD,Plain pasta and noodles
501930,CLASS,GS_FOOD,Infant foods and beverages
501931,CLASS,GS_FOOD,Instant mixes and supplies
501932,CLASS,GS_FOOD,Prepared salads
501933,CLASS,GS_FOOD,Flour tortillas
501934,CLASS,GS_FOOD,Food baskets
502017,CLASS,GS_FOOD,Coffee and tea
502022,CLASS,GS_FOOD,Alcoholic beverages
502023,CLASS,GS_FOOD,Non alcoholic beverages
502024,CLASS,GS_FOOD,Fresh citrus juice or concentrate
502025,CLASS,GS_FOOD,Fresh berry juice or concentrate
502026,CLASS,GS_FOOD,Fresh pome fruit juice or concentrate
502027,CLASS,GS_FOOD,Fresh drupe or stone fruit juice or concentrate
502028,CLASS,GS_FOOD,Fresh tropical fruit juice or concentrate
502030,CLASS,GS_FOOD,Fresh melon juice or concentrates
502031,CLASS,GS_FOOD,Fresh vegetable juice or concentrate
502032,CLASS,GS_FOOD,Raw milk products
312015,CLASS,GS_PACKAGING,Tape
502210,CLASS,GS_FOOD,Pulses
502211,CLASS,GS_FOOD,Cereals
502212,CLASS,GS_FOOD,Processed cereals
502213,CLASS,GS_FOOD,Flour and milled products
521615,CLASS,GS_ELECTRONICS,Audio and visual equipment
432115,CLASS,GS_ELECTRONICS,Computers
431915,CLASS,GS_ELECTRONICS,Personal communication devices
432014,CLASS,GS_ELECTRONICS,System Cards
432015,CLASS,GS_ELECTRONICS,System boards processors interfaces or modules
432016,CLASS,GS_ELECTRONICS,Chassis components
432018,CLASS,GS_ELECTRONICS,Media storage devices
432019,CLASS,GS_ELECTRONICS,Media storage device accessories
432020,CLASS,GS_ELECTRONICS,Removable storage media
301015,CLASS,GS_CONSTRUCTION,Angles
301017,CLASS,GS_CONSTRUCTION,Beams
301018,CLASS,GS_CONSTRUCTION,Channels
301020,CLASS,GS_CONSTRUCTION,Foil
301022,CLASS,GS_CONSTRUCTION,Plate
301023,CLASS,GS_CONSTRUCTION,Profiles
301024,CLASS,GS_CONSTRUCTION,Rod
301028,CLASS,GS_CONSTRUCTION,Piling
301029,CLASS,GS_CONSTRUCTION,Post
301031,CLASS,GS_CONSTRUCTION,Rails
301032,CLASS,GS_CONSTRUCTION,Grating
301035,CLASS,GS_CONSTRUCTION,Honeycomb core
301036,CLASS,GS_CONSTRUCTION,Structural products
301037,CLASS,GS_CONSTRUCTION,Braid
301038,CLASS,GS_CONSTRUCTION,Metallic fibers and filaments
301039,CLASS,GS_CONSTRUCTION,Shafts
301040,CLASS,GS_CONSTRUCTION,Hollow structural sections HSS
301115,CLASS,GS_CONSTRUCTION,Concrete and mortars
301116,CLASS,GS_CONSTRUCTION,Cement and lime
301117,CLASS,GS_CONSTRUCTION,Plasters
301118,CLASS,GS_CONSTRUCTION,Aggregates
301119,CLASS,GS_CONSTRUCTION,Concrete reinforcement hardware
301215,CLASS,GS_CONSTRUCTION,Bituminous derivatives
301216,CLASS,GS_CONSTRUCTION,Asphalts
301217,CLASS,GS_CONSTRUCTION,Road and railroad construction materials
301218,CLASS,GS_CONSTRUCTION,Landscape architecture materials
301219,CLASS,GS_CONSTRUCTION,Soil stabilizers and reinforcing materials
301315,CLASS,GS_CONSTRUCTION,Blocks
301316,CLASS,GS_CONSTRUCTION,Bricks
301317,CLASS,GS_CONSTRUCTION,Tiles and flagstones
301415,CLASS,GS_CONSTRUCTION,Thermal insulation
301416,CLASS,GS_CONSTRUCTION,Specialty insulation
301417,CLASS,GS_CONSTRUCTION,Insulation sealing layers
301515,CLASS,GS_CONSTRUCTION,Roofing materials
301516,CLASS,GS_CONSTRUCTION,Roofing accessories
301517,CLASS,GS_CONSTRUCTION,Rain gutters and accessories
301518,CLASS,GS_CONSTRUCTION,Siding and exterior wall materials
301519,CLASS,GS_CONSTRUCTION,Finishing materials and products
301520,CLASS,GS_CONSTRUCTION,Fencing
301521,CLASS,GS_CONSTRUCTION,Surface
301615,CLASS,GS_CONSTRUCTION,Wall finishing materials
301616,CLASS,GS_CONSTRUCTION,Ceiling materials
301617,CLASS,GS_CONSTRUCTION,Flooring
301618,CLASS,GS_CONSTRUCTION,Cabinetry
301619,CLASS,GS_CONSTRUCTION,Molding and millwork
301620,CLASS,GS_CONSTRUCTION,Interior laminates
301621,CLASS,GS_CONSTRUCTION,Stairs and stairways
301622,CLASS,GS_CONSTRUCTION,Countertops
301624,CLASS,GS_CONSTRUCTION,Partition walls
301715,CLASS,GS_CONSTRUCTION,Doors
301716,CLASS,GS_CONSTRUCTION,Windows
301717,CLASS,GS_CONSTRUCTION,Glass products
301718,CLASS,GS_CONSTRUCTION,Skylights
301719,CLASS,GS_CONSTRUCTION,Window frames
301720,CLASS,GS_CONSTRUCTION,Gates
301721,CLASS,GS_CONSTRUCTION,Garage doors and operators
301815,CLASS,GS_CONSTRUCTION,Sanitary ware
302515,CLASS,GS_CONSTRUCTION,Underground roof support structures
302615,CLASS,GS_CONSTRUCTION,Brass bars
302616,CLASS,GS_CONSTRUCTION,Brass sheets
302617,CLASS,GS_CONSTRUCTION,Brass ingots strips billets and coil
302618,CLASS,GS_CONSTRUCTION,Magnesium bars and sheets
302619,CLASS,GS_CONSTRUCTION,Magnesium ingots strips billets and coil
302620,CLASS,GS_CONSTRUCTION,Titanium bars and sheets
302621,CLASS,GS_CONSTRUCTION,Titanium ingots strips billets and coil
302622,CLASS,GS_CONSTRUCTION,Copper bars
302623,CLASS,GS_CONSTRUCTION,Copper sheets
302624,CLASS,GS_CONSTRUCTION,Copper ingots strip billets and coil
302625,CLASS,GS_CONSTRUCTION,Bronze bars
302626,CLASS,GS_CONSTRUCTION,Bronze sheets
302627,CLASS,GS_CONSTRUCTION,Bronze ingots strips billets and coil
302628,CLASS,GS_CONSTRUCTION,Zinc bars and sheets
302629,CLASS,GS_CONSTRUCTION,Zinc ingots strips billets and coil
302630,CLASS,GS_CONSTRUCTION,Tin bars
302631,CLASS,GS_CONSTRUCTION,Tin sheet
302632,CLASS,GS_CONSTRUCTION,Tin ingots strip and coil
302633,CLASS,GS_CONSTRUCTION,Lead bars
302634,CLASS,GS_CONSTRUCTION,Lead sheets
302635,CLASS,GS_CONSTRUCTION,Lead ingots strips billets and coil
302636,CLASS,GS_CONSTRUCTION,Carbon steel bars
302637,CLASS,GS_CONSTRUCTION,Steel alloy bars
302638,CLASS,GS_CONSTRUCTION,Tool steel bars
302639,CLASS,GS_CONSTRUCTION,Specialty steel bars
302640,CLASS,GS_CONSTRUCTION,Carbon steel sheets
302641,CLASS,GS_CONSTRUCTION,Steel alloy sheets
302642,CLASS,GS_CONSTRUCTION,Specialty steel sheets
302643,CLASS,GS_CONSTRUCTION,Specialty steel coils
302644,CLASS,GS_CONSTRUCTION,Carbon steel ingots strips billets and coil
302645,CLASS,GS_CONSTRUCTION,Stainless steel bars
302646,CLASS,GS_CONSTRUCTION,Stainless steel sheets
302647,CLASS,GS_CONSTRUCTION,Stainless steel coil
302648,CLASS,GS_CONSTRUCTION,Stainless steel strips
302649,CLASS,GS_CONSTRUCTION,Aluminum bars
302650,CLASS,GS_CONSTRUCTION,Aluminum sheets
302651,CLASS,GS_CONSTRUCTION,Aluminum coil
302652,CLASS,GS_CONSTRUCTION,Aluminum strips and ingots
302653,CLASS,GS_CONSTRUCTION,Iron bars
302654,CLASS,GS_CONSTRUCTION,Iron sheets
302655,CLASS,GS_CONSTRUCTION,Iron ingots strips billets and coil
302656,CLASS,GS_CONSTRUCTION,Ferrous alloy bars and sheets
302657,CLASS,GS_CONSTRUCTION,Ferrous alloy ingots strips billets and coil
302658,CLASS,GS_CONSTRUCTION,Plastic bars and sheets
302659,CLASS,GS_CONSTRUCTION,Plastic coil and strips
302660,CLASS,GS_CONSTRUCTION,Precious metal and specialty metal bars
302661,CLASS,GS_CONSTRUCTION,Precious metal and specialty metal sheets
302662,CLASS,GS_CONSTRUCTION,Precious metal and specialty metal coil strips billets and ingots
302663,CLASS,GS_CONSTRUCTION,Wood structural materials
302664,CLASS,GS_CONSTRUCTION,Specialty material bars and sheets
302665,CLASS,GS_CONSTRUCTION,Specialty material coil strips billets and ingots
302666,CLASS,GS_CONSTRUCTION,Nickel sheets and ingots
302667,CLASS,GS_CONSTRUCTION,Shafting
42318,CLASS,GS_CONSTRUCTION,Minerals
42684,CLASS,GS_CONSTRUCTION,Ores
43049,CLASS,GS_CONSTRUCTION,Base Metals
43414,CLASS,GS_CONSTRUCTION,Precious metals
43779,CLASS,GS_CONSTRUCTION,Intermediate processed and refined ore products
42686,CLASS,GS_CONSTRUCTION,Wood
44147,CLASS,GS_CONSTRUCTION,Engineered wood products
311615,CLASS,GS_CONSTRUCTION,Screws
311616,CLASS,GS_CONSTRUCTION,Bolts
311617,CLASS,GS_CONSTRUCTION,Nuts
311618,CLASS,GS_CONSTRUCTION,Washers
311619,CLASS,GS_CONSTRUCTION,Springs
311620,CLASS,GS_CONSTRUCTION,Nails
311621,CLASS,GS_CONSTRUCTION,Anchors
311622,CLASS,GS_CONSTRUCTION,Rivets
42292,CLASS,GS_FOOD,Vegetable seeds and seedlings
42658,CLASS,GS_FOOD,Cereal seeds
503020,CLASS,GS_FOOD,Blackberries
43388,CLASS,GS_FOOD,Spice crop seeds and seedlings
43753,CLASS,GS_FOOD,Flower seeds and bulbs and seedlings and cuttings
503021,CLASS,GS_FOOD,Bilberries
503022,CLASS,GS_FOOD,Blueberries
503023,CLASS,GS_FOOD,Breadfruit
45214,CLASS,GS_FOOD,Legume seeds and seedlings
45580,CLASS,GS_FOOD,Tuber seeds and seedlings
503015,CLASS,GS_FOOD,Apples
503016,CLASS,GS_FOOD,Apricots
503017,CLASS,GS_FOOD,Bananas
503018,CLASS,GS_FOOD,Barberries
503019,CLASS,GS_FOOD,Bearberries
503024,CLASS,GS_FOOD,Cherimoyas
503025,CLASS,GS_FOOD,Cherries
503026,CLASS,GS_FOOD,Citrons
503027,CLASS,GS_FOOD,Cranberries
503028,CLASS,GS_FOOD,Currants
503029,CLASS,GS_FOOD,Dates
503030,CLASS,GS_FOOD,Dragonfruit
503031,CLASS,GS_FOOD,Figs
503032,CLASS,GS_FOOD,Gooseberries
503033,CLASS,GS_FOOD,Grapefruit
503034,CLASS,GS_FOOD,Table grapes
503035,CLASS,GS_FOOD,Raisin grapes
503036,CLASS,GS_FOOD,Wine grapes
503037,CLASS,GS_FOOD,Guavas
503038,CLASS,GS_FOOD,Huckleberries
503039,CLASS,GS_FOOD,Kiwi fruit
503040,CLASS,GS_FOOD,Kumquats
503041,CLASS,GS_FOOD,Lemons
503042,CLASS,GS_FOOD,Limes
503043,CLASS,GS_FOOD,Loquats
503044,CLASS,GS_FOOD,Mandarin oranges or tangerines
503045,CLASS,GS_FOOD,Mangoes
503046,CLASS,GS_FOOD,Melons
503047,CLASS,GS_FOOD,Mulberries
503048,CLASS,GS_FOOD,Bayberries or myrtles
503049,CLASS,GS_FOOD,Nectarines
503050,CLASS,GS_FOOD,Oranges
503051,CLASS,GS_FOOD,Papayas
503052,CLASS,GS_FOOD,Passion fruit
503053,CLASS,GS_FOOD,Peaches
503054,CLASS,GS_FOOD,Pears
503055,CLASS,GS_FOOD,Persimmons
503056,CLASS,GS_FOOD,Pineapples
503057,CLASS,GS_FOOD,Plucots
503058,CLASS,GS_FOOD,Plums
503059,CLASS,GS_FOOD,Pomegranates
503060,CLASS,GS_FOOD,Pomelos
503061,CLASS,GS_FOOD,Quinces
503062,CLASS,GS_FOOD,Raspberries
503063,CLASS,GS_FOOD,Rhubarb
503064,CLASS,GS_FOOD,Rose hips
503065,CLASS,GS_FOOD,Sapotes
503066,CLASS,GS_FOOD,Saskatoon berries
503067,CLASS,GS_FOOD,Strawberries
503068,CLASS,GS_FOOD,Sugar apple
503069,CLASS,GS_FOOD,Tamarillo
503070,CLASS,GS_FOOD,Nominant fruits
503071,CLASS,GS_FOOD,Chokeberries
503072,CLASS,GS_FOOD,Olives
503075,CLASS,GS_FOOD,Fresh fruit byproducts
503215,CLASS,GS_FOOD,Dried apples
503216,CLASS,GS_FOOD,Dried apricots
503217,CLASS,GS_FOOD,Dried bananas
503218,CLASS,GS_FOOD,Dried barberries
503219,CLASS,GS_FOOD,Dried bearberries
503220,CLASS,GS_FOOD,Dried blackberries
503221,CLASS,GS_FOOD,Dried bilberries
503222,CLASS,GS_FOOD,Dried blueberries
503223,CLASS,GS_FOOD,Dried breadfruit
503224,CLASS,GS_FOOD,Dried cherimoyas
503225,CLASS,GS_FOOD,Dried cherries
503226,CLASS,GS_FOOD,Dried citrons
503227,CLASS,GS_FOOD,Dried cranberries
503228,CLASS,GS_FOOD,Dried currants
503229,CLASS,GS_FOOD,Dried dates
503230,CLASS,GS_FOOD,Dried dragonfruit
503231,CLASS,GS_FOOD,Dried figs
503232,CLASS,GS_FOOD,Dried gooseberries
503233,CLASS,GS_FOOD,Dried grapefruit
503234,CLASS,GS_FOOD,Dried table grapes
503235,CLASS,GS_FOOD,Dried raisin grapes
503236,CLASS,GS_FOOD,Dried wine grapes
503237,CLASS,GS_FOOD,Dried guavas
503238,CLASS,GS_FOOD,Dried huckleberries
503239,CLASS,GS_FOOD,Dried kiwi fruit
503240,CLASS,GS_FOOD,Dried kumquats
503241,CLASS,GS_FOOD,Dried lemons
503242,CLASS,GS_FOOD,Dried limes
503243,CLASS,GS_FOOD,Dried loquats
503244,CLASS,GS_FOOD,Dried mandarin oranges or tangerines
503245,CLASS,GS_FOOD,Dried mangoes
503246,CLASS,GS_FOOD,Dried melons
503247,CLASS,GS_FOOD,Dried mulberries
503248,CLASS,GS_FOOD,Dried myrtle
503249,CLASS,GS_FOOD,Dried nectarines
503250,CLASS,GS_FOOD,Dried oranges
503251,CLASS,GS_FOOD,Dried papayas
503252,CLASS,GS_FOOD,Dried passion fruit
503253,CLASS,GS_FOOD,Dried peaches
503254,CLASS,GS_FOOD,Dried pears
503255,CLASS,GS_FOOD,Dried persimmons
503256,CLASS,GS_FOOD,Dried pineapples
503257,CLASS,GS_FOOD,Dried plucots
503258,CLASS,GS_FOOD,Dried plums
503259,CLASS,GS_FOOD,Dried pomegranates
503260,CLASS,GS_FOOD,Dried pomelos
503261,CLASS,GS_FOOD,Dried quinces
503262,CLASS,GS_FOOD,Dried raspberries
503263,CLASS,GS_FOOD,Dried rhubarb
503264,CLASS,GS_FOOD,Dried rose hips
503265,CLASS,GS_FOOD,Dried sapotes
503266,CLASS,GS_FOOD,Dried saskatoon berries
503267,CLASS,GS_FOOD,Dried strawberries
503268,CLASS,GS_FOOD,Dried sugar apple
503269,CLASS,GS_FOOD,Dried tamarillo
503270,CLASS,GS_FOOD,Dried nominant fruits
503271,CLASS,GS_FOOD,Dried chokeberries
503272,CLASS,GS_FOOD,Dried olives
503415,CLASS,GS_FOOD,Frozen apples
503416,CLASS,GS_FOOD,Frozen apricots
503417,CLASS,GS_FOOD,Frozen bananas
503418,CLASS,GS_FOOD,Frozen barberries
503419,CLASS,GS_FOOD,Frozen bearberries
503420,CLASS,GS_FOOD,Frozen blackberries
503421,CLASS,GS_FOOD,Frozen bilberries
503422,CLASS,GS_FOOD,Frozen blueberries
503423,CLASS,GS_FOOD,Frozen breadfruit
503424,CLASS,GS_FOOD,Frozen cherimoyas
503425,CLASS,GS_FOOD,Frozen cherries
503426,CLASS,GS_FOOD,Frozen citrons
503427,CLASS,GS_FOOD,Frozen cranberries
503428,CLASS,GS_FOOD,Frozen currants
503429,CLASS,GS_FOOD,Frozen dates
503430,CLASS,GS_FOOD,Frozen dragonfruit
503431,CLASS,GS_FOOD,Frozen figs
503432,CLASS,GS_FOOD,Frozen gooseberries
503433,CLASS,GS_FOOD,Frozen grapefruit
503434,CLASS,GS_FOOD,Frozen table grapes
503435,CLASS,GS_FOOD,Frozen raisin grapes
503436,CLASS,GS_FOOD,Frozen wine grapes
503437,CLASS,GS_FOOD,Frozen guavas
503438,CLASS,GS_FOOD,Frozen huckleberries
503439,CLASS,GS_FOOD,Frozen kiwi fruit
503440,CLASS,GS_FOOD,Frozen kumquats
503441,CLASS,GS_FOOD,Frozen lemons
503442,CLASS,GS_FOOD,Frozen limes
503443,CLASS,GS_FOOD,Frozen loquats
503444,CLASS,GS_FOOD,Frozen mandarin oranges or tangerines
503445,CLASS,GS_FOOD,Frozen mangoes
503446,CLASS,GS_FOOD,Frozen melons
503447,CLASS,GS_FOOD,Frozen mulberries
503448,CLASS,GS_FOOD,Frozen bayberries or myrtle
503449,CLASS,GS_FOOD,Frozen nectarines
503450,CLASS,GS_FOOD,Frozen oranges
503451,CLASS,GS_FOOD,Frozen papayas
503452,CLASS,GS_FOOD,Frozen passion fruit
503453,CLASS,GS_FOOD,Frozen peaches
503454,CLASS,GS_FOOD,Frozen pears
503455,CLASS,GS_FOOD,Frozen persimmons
503456,CLASS,GS_FOOD,Frozen pineapples
503457,CLASS,GS_FOOD,Frozen plucots
503458,CLASS,GS_FOOD,Frozen plums
503459,CLASS,GS_FOOD,Frozen pomegranates
503460,CLASS,GS_FOOD,Frozen pomelos
503461,CLASS,GS_FOOD,Frozen quinces
503462,CLASS,GS_FOOD,Frozen raspberries
503463,CLASS,GS_FOOD,Frozen rhubarb
503464,CLASS,GS_FOOD,Frozen rose hips
503465,CLASS,GS_FOOD,Frozen sapotes
503466,CLASS,GS_FOOD,Frozen saskatoon berries
503467,CLASS,GS_FOOD,Frozen strawberries
503468,CLASS,GS_FOOD,Frozen sugar apple
503469,CLASS,GS_FOOD,Frozen tamarillo
503470,CLASS,GS_FOOD,Frozen nominant fruits
503471,CLASS,GS_FOOD,Frozen chokeberries
503472,CLASS,GS_FOOD,Frozen olives
503615,CLASS,GS_FOOD,Canned or jarred apples
503616,CLASS,GS_FOOD,Canned or jarred apricots
503617,CLASS,GS_FOOD,Canned or jarred bananas
503618,CLASS,GS_FOOD,Canned or jarred barberries
503619,CLASS,GS_FOOD,Canned or jarred bearberries
503620,CLASS,GS_FOOD,Canned or jarred blackberries
